प्रत्ययः	दृश्यरूपम्
अ	अ
अकच्	अक
अच्	अ 
अञ्	अ 
अठच्	अठ 
अडच्	अड 
अण्	अ 
अत्	अ 
अतसुच्	अतस् 
अधुना	अधुना 
अन्	अ 
अनिच् 	अन् 
अप्	अ 
अमु	अम् 
अयच्	अय 
असि	अस् 
असिच्	अस् 
अस्ताति	अस्तात् 
आकिनिच्	आकिन् 
आच्	आ 
आटच्	आट 
आति	आति 
आमिन्	आमिन् 
आमु	आम् 
आरकन्	आरक 
आरक्	आर 
आरि	आरि 
आलच्	आल 
आलु	आलु 
आलुच्	आलु 
आवतुँ	आवत् 
आहञ्	आह 
आहि	आहि 
इ	इ 
इकट्	इक 
इच्	इ 
इञ्	इ 
इतच्	इत 
इथुक् (आगमः)	इथ् 
इन	इन 
इनच्	इन 
इनि	इन् 
इमनिच्	इमन् 
इरच्	इर 
इरन्	इर 
इलच्	इल 
इल्	इ 
इष्ठन्	इष्ठ 
ई	ई 
ईकक्	ईक 
ईकन्	ईक 
ईमसच्	ईमस 
ईयसुन्	ईयस 
ईरन्	ईर 
उकञ्	उक 
उत्	उ 
उरच्	उर 
एण्य	एण्य 
एत्य	एत्य 
एद्यवि	एद्यवि 
एद्युस्	एद्युस् 
एधाच्	एधा 
एनप्	एन 
ऐरक्	ऐर 
क	क 
कक्	क 
कटच्	कट 
कट्यच्	कट्य 
कन्	क 
कप्	क 
कल्पप्	कल्प 
काण्ड	काण्ड 
काम्	काम् 
कुटारच्	कुटार 
कुणप्	कुण 
कृत्वसुच्	कृत्वस् 
ख	ईन 
खञ्	ईन 
खण्डच्	खण्ड 
गोयुगच्	गोयुग 
ग्मिनि	ग्मिन् 
घ	इय 
घन्	इय 
घस्	इय 
चणप्	चण
चरट्	चर 
चुञ्चुप्	चुञ्चु 
चूलच्	चूल 
चेलु	एलु 
च्फञ्	आयन 
च्वि	X 
छ	ईय 
छण्	ईय 
छस्	ईय 
जातीयर्	जातीय 
जाहच्	जाह
ञ	अ 
ञ्य	य
ञ्यङ्	य
ञ्यट्	य
ट	अ 
टच्	अ 
टिठन्	इक 
टीटञ्	टीट 
टेण्यण्	एण्य 
ट्यण्	य 
ट्यु	अन 
ट्युँल्	अन 
ट्लञ्	ल 
ठक्	इक 
ठच्	इक 
ठञ्	इक 
ठन्	इक 
ठप्	इक 
ड	अ 
डच्	अ 
डट्	अ 
डण्	अ 
डतमच्	अतम 
डतरच्	अतर 
डति	अति 
डाच्	आ 
डामहच्	आमह 
डिनि	इन् 
डिमच्	इम
डुपच्	उप 
डुलच्	उल 
ड्मतुँप्	मत् 
ड्य	य 
ड्यण्	य 
ड्यत्	य 
ड्वलच्	वल 
ड्वुँन्	अक 
ढ	एय 
ढकञ्	एयक 
ढक्	एय 
ढञ्	एय 
ढिनुक्	एयिन् 
ढ्रक्	एर
ण	अ 
णस्	अ 
णिनि	इन् 
ण्य	य 
ण्यत्	य 
त	त 
तनप्	तन 
तप्	त 
तमट् (आगमः)	तम
तमप्	तम 
तयप्	तय 
तरप्	तर 
तल्	त 
तसि	तस् 
तसिल्	तस् 
तातिल्	तात् 
ति (स्त्रीप्रत्ययः)	ति 
ति 	ति 
तिकन्	तिक 
तिथुक् (आगमः)	
तिल्	ति 
तीय	तीय 
तु	तु 
तैलच्	तैल 
त्न	त्न 
त्नप्	त्न 
त्यकन्	त्यक 
त्यक्	त्य 
त्यप्	त्य 
त्र	त्र 
त्रल्	त्र 
त्रा	त्रा 
त्व	त्व 
थट् (आगमः)	थ्
थमु	थम् 
था	था 
था	थाल् 
थुक् (आगमः)	थ्
थ्यन्	थ्य
दघ्नञ्	दघ्न 
दा	दा 
दानीम्	दानीम् 
दूस	दूस 
देशीयर्	देशीय 
देश्य	देश्य 
द्य	द्य 
द्यस्	द्यस् 
द्यु	द्यु 
द्वयसच्	द्वयस 
धमुञ्	धम् 
धा	धा 
धेय	धेय 
ध्यमुञ्	ध्यम् 
न	न 
नञ्	न 
ना	ना 
नाञ्	ना 
नाटच्	नाट
निङ्  (आदेशः)	नि 
नीरच्	नीर 
पटच्	पट 
पाशप्	पाश 
पिञ्ज	पिञ्ज 
पिटच्	पिट 
पेज	पेज 
फ	आयन 
फक्	आयन 
फञ्	आयन 
फिञ्	आयनि 
फिन्	आयनि 
बहुच्	बहु 
बिडच्	बिड 
बिरीसच्	बिरीस 
भ	भ 
भक्तल्	भक्त
भ्रटच्	भ्रट 
म 	म 
मट् (आगमः)	म 
मतुँप्	मत् 
मप्	म 
मयट्	मय
मरीसच्	मरीस 
मात्रच्	मात्र 
मिनि	मिन् 
य	य
यक्	य 
यञ्	य 
यत्	य 
यन्	य 
यल्	य 
यस्	य 
युस्	यु 
र	र 
रण्	र 
रिल्	रि 
रिष्टातिल्	रिष्टात्
रूपप्	रूप 
रूप्य	रूप्य 
र्हिल्	र्हि 
लच्	ल 
व	व 
वति	वत् 
वतुँप्	वत् 
वनिप्	वन् 
वय	वय 
वलच्	वल 
विधल्	विध 
विनि	विन् 
वुँक्	अक 
वुँच्	अक 
वुँञ्	अक 
वुँन्	अक 
व्यत्	व्य 
व्यन्	व्य 
श	श 
शङ्कटच्	शङ्कट
शस्	श 
शाकट्	शाक 
शाकिन	शाकिन
शालच्	शाल 
ष	अ 
षच्	अ 
षड्गवच्	षड्गव
षिकन्	इक 
षेण्यण्	एण्य 
ष्कन्	क 
ष्टरच्	तर 
ष्ठच्	इक 
ष्ठन्	इक 
ष्ठल्	इक 
ष्फ (स्त्रीप्रत्ययः)	आयन 
ष्फक्	आयन 
ष्यङ् (स्त्रीप्रत्ययसंज्ञकः आदेशः)	य 
ष्यञ्	य 
स	स 
समसण्	समस् 
साति	सात् 
सुच्	स् 
स्कन्धच्	स्कन्ध 
स्नञ्	स्न 
स्ना	स्ना
ह	ह 